year,pdf_link,titulo,epigrafe
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0002-16.pdf,ACUERDO 0002-16 POR EL CUAL SE CONCEDEN TRATAMIENTOS PREFERENCIALES EN TRIBUTOS PARA PROMOVER REALIZACION DE EVENTOS CON PARTICIPACION DE LAS SELECCIONES COLOMBIANAS DE FUTBOL EN SUS RAMAS MASCULINAS Y FEMENINAS,
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0003-16.pdf,ACUERDO 0003-16 POR MEDIO DEL CUAL SE CONCEDEN FACULTADES AL SEÑOR ALCALDE PARA OTORGAR SUBSIDIOS PARA COMPRA Y O MEJORAMIENTO DE VIVIENDA Y COMPRA DE PREDIOS PARA TITULACION DE VIVIENDA A LA POBLACION VULNERABLE,
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0004-16.pdf,"ACUERDO 0004-16 “POR EL CUAL SE AMPLIA HASTA EL AÑO 2035 EL PLAZO CONTEMPLADO EN EL ARTICULO 34 DEL ESTATUTO TRIBUTARIO DISTRITAL, PARA EL FONDO DE RESTAURACION, OBRAS E INVERSIONES HIDRICAS, FORO HIDRICO”.",
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0005-16.pdf,"ACUERDO 0005-16 “POR MEDIO DEL CUAL SE CONCEDEN AL SEÑOR ALCALDE DEL DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA PARA TRANSFERIR A LA EMPRESA DE DESARROLLO URBANO DE BARRANQUILLA Y LA REGION CARIBE S A EDUBAR, REC",
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0006-16.pdf,"ACUERDO 0006-16 “POR EL CUAL SE CONCEDEN AL SEÑOR ALCALDE DEL DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA AUTORIZACIONES PRECISAS Y PROTEMPORES PARA CELEBRAR LOS CONTRATOS Y CONVENIOS NECESARIOS PARA TRANSFERIR AL F",
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0007-16.pdf,"ACUERDO 0007-16 “POR EL CUAL SE AUTORIZA AL ALCALDE DEL DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA PARA TRANSFERIR A LA EMPRESA DE DESARROLLO URBANO DE BARRANQUILLA Y LA REGION CARIBE S A EDUBAR, DE LOS RECURSOS",
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0008-16.pdf,"ACUERDO 0008-16 “POR MEDIO DEL CUAL SE CONCEDEN FACULTADES AL ALCALDE MAYOR DEL DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA PARA COMPROMETER VIGENCIAS FUTURAS ORDINARIAS A FIN DE REALIZAR EL PROYECTO “CONSTRUCCION YO",
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0009-16.pdf,ACUERDO 0009-16 “POR EL CUAL SE AUTORIZA AL ALCALDE DISTRITAL DE BARRANQUILLA PARA LA ZASUNCION DE COMPROMISOS CON CARGO A PRESUPUESTOS DE VIGENCIAS FUTURAS ORDINARIAS PARA CONTRATAR LA COMPRA DE EQUIPOS PARA LA DOTACION DE CUA,
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0010-16.pdf,"ACUERDO 0010-16 “POR EL CUAL SE AUTORIZA AL ALCALDE DEL DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA PARA COMPROMETER VIGENCIAS FUTURAS ORDINARIAS PARA LA ADQUISICION DE PREDIOS EN DESARROLLO DEL PROYECTO SANEAMIENTO",
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-0011-16.pdf,ACUERDO 0011-16 POR EL CUAL SE ADOPTA EL PLAN DE DESARROLLO DISTRITAL 2016 – 2019 BARRANQUILLA CAPITAL DE VIDA,
2016,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/09/CamScanner-09-30-2022-07.59.pdf,ACUERDO 0012-16 POR MEDIO DEL CUAL SE INCORPORA EL ITSA AL DISTRITO ESPECIAL INDUSTRIAL DE PORTUARIO DE BARRANQUILLA,
